sep=	
Project Name:	C:\SharedFolder\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/06/18 13:59:45
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_Konfig_idNameSteuerung	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416441"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_EntfeuchterTyp	STRING				False												HMIDT542+HMIG3U	CControl_Lite	False	="416442"	False	False	31									Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Konfig_SoftwareVersionPLC	STRING				False												HMIDT542+HMIG3U	CControl_Lite	False	="416458"	False	False	31									Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Allg_StandortHoehe	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416474"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Tarifabschaltung_Start_Std	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416475"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Tarifabschaltung_Start_Min	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416476"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Tarifabschaltung_Stopp_Std	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416477"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Tarifabschaltung_Stopp_Min	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416478"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Boxen_1_Trockengut	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416479"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Boxen_2_Trockengut	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416480"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Boxen_1_SchlechtwetterSensorGrenzwert	INT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416481"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Para_Boxen_2_SchlechtwetterSensorGrenzwert	INT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416482"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_LeistungMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416483"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_LeistungMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416485"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_Hyst	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416487"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_FeuchteSoll	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416489"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_TrockenluftTempSoll	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416491"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_P	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416493"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_I	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416495"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_D	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416497"	False	False										Direct									Direct									Direct									Direct									Direct			None		
